variable,x,y
bio9,-63.00938835144043,1.4464043125720604E-16
bio9,-62.90045565338134,1.6335247499477893E-16
bio9,-62.791522955322264,1.8206451873235064E-16
bio9,-62.68259025726318,2.0553823927213999E-16
bio9,-62.5736575592041,2.2901195981192796E-16
bio9,-62.464724861145015,2.5843833870329156E-16
bio9,-62.35579216308594,2.878647175946533E-16
bio9,-62.24685946502685,3.247273078370241E-16
bio9,-62.13792676696777,3.6158989807939264E-16
bio9,-62.02899406890869,4.0773538368286196E-16
bio9,-61.92006137084961,4.538808692863284E-16
bio9,-61.811128672790524,5.116074347090405E-16
bio9,-61.702195974731445,5.693340001317489E-16
bio9,-61.59326327667236,6.414948471960142E-16
bio9,-61.48433057861328,7.136556942602749E-16
bio9,-61.375397880554196,8.037980637795781E-16
bio9,-61.26646518249512,8.939404332988757E-16
bio9,-61.15753248443603,1.0064660716840897E-15
bio9,-61.048599786376954,1.1189917100692967E-15
bio9,-60.93966708831787,1.259359996978827E-15
bio9,-60.83073439025879,1.3997282838883485E-15
bio9,-60.721801692199705,1.5747055832181684E-15
bio9,-60.61286899414063,1.7496828825479769E-15
bio9,-60.50393629608154,1.9676494378669016E-15
bio9,-60.39500359802246,2.1856159931858125E-15
bio9,-60.28607089996338,2.456943346022955E-15
bio9,-60.1771382019043,2.7282706988600805E-15
bio9,-60.06820550384521,3.0657856195895167E-15
bio9,-59.95927280578613,3.4033005403189524E-15
bio9,-59.85034010772705,3.8228548792168245E-15
bio9,-59.741407409667964,4.242409218114723E-15
bio9,-59.632474711608886,4.763589293519042E-15
bio9,-59.5235420135498,5.2847693689233936E-15
bio9,-59.41460931549072,5.9317157722182525E-15
bio9,-59.30567661743164,6.578662175513155E-15
bio9,-59.19674391937256,7.381174625664342E-15
bio9,-59.08781122131347,8.183687075815582E-15
bio9,-58.978878523254394,9.178477834262057E-15
bio9,-58.86994582519531,1.0173268592708593E-14
bio9,-58.76101312713623,1.1405544453252984E-14
bio9,-58.652080429077145,1.2637820313797456E-14
bio9,-58.54314773101807,1.4163211016005954E-14
bio9,-58.43421503295898,1.5688601718214546E-14
bio9,-58.3252823348999,1.7575510341381425E-14
bio9,-58.21634963684082,1.946241896454842E-14
bio9,-58.10741693878174,2.1794896579840628E-14
bio9,-57.998484240722654,2.4127374195132987E-14
bio9,-57.889551542663575,2.7008626494889675E-14
bio9,-57.78061884460449,2.9889878794646546E-14
bio9,-57.67168614654541,3.344660589786163E-14
bio9,-57.562753448486326,3.7003333001076946E-14
bio9,-57.45382075042724,4.139067917331018E-14
bio9,-57.34488805236816,4.577802534554313E-14
bio9,-57.235955354309084,5.1186283553878844E-14
bio9,-57.12702265625,5.659454176221489E-14
bio9,-57.01808995819091,6.325663111370845E-14
bio9,-56.909157260131835,6.991872046520161E-14
bio9,-56.800224562072756,7.81196121387371E-14
bio9,-56.69129186401367,8.632050381227312E-14
bio9,-56.582359165954585,9.640860724072669E-14
bio9,-56.47342646789551,1.0649671066917962E-13
bio9,-56.36449376983642,1.1889768604612991E-13
bio9,-56.25556107177734,1.3129866142307945E-13
bio9,-56.14662837371826,1.465321703080755E-13
bio9,-56.03769567565918,1.6176567919307057E-13
bio9,-55.928762977600094,1.804657172000404E-13
bio9,-55.819830279541016,1.9916575520700903E-13
bio9,-55.71089758148193,2.2210563984545708E-13
bio9,-55.60196488342285,2.450455244839037E-13
bio9,-55.49303218536377,2.7316602679597937E-13
bio9,-55.38409948730469,3.0128652910805315E-13
bio9,-55.2751667892456,3.3573423514486897E-13
bio9,-55.166234091186524,3.701819411816825E-13
bio9,-55.05730139312744,4.1235119023771835E-13
bio9,-54.94836869506836,4.5452043929375163E-13
bio9,-54.839435997009275,5.061062253363409E-13
bio9,-54.7305032989502,5.576920113789267E-13
bio9,-54.62157060089111,6.207532936470993E-13
bio9,-54.512637902832026,6.838145759152718E-13
bio9,-54.40370520477295,7.608506938065147E-13
bio9,-54.29477250671387,8.378868116977575E-13
bio9,-54.185839808654784,9.319294393106258E-13
bio9,-54.0769071105957,1.0259720669234938E-12
bio9,-53.96797441253662,1.1406959882382121E-12
bio9,-53.85904171447754,1.2554199095529304E-12
bio9,-53.750109016418456,1.3952762536117383E-12
bio9,-53.64117631835937,1.5351325976705463E-12
bio9,-53.53224362030029,1.7055122585712121E-12
