Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.06849E-12,0.000000001,0.000000007,0.99961319,0,0
5.44917E-12,0.000000003,0.00000001,0.999323083,0,0
1.2034E-11,0.00000001,0.000000021,0.998452761,0,0
2.55009E-11,0.000000026,0.000000045,0.997679141,0,0
4.27165E-11,0.000000101,0.000000076,0.99564839,0,0
9.42221E-11,0.000000255,0.000000167,0.993520936,0,0
2.33044E-10,0.000001019,0.000000412,0.988879219,0,0
4.30197E-10,0.000002501,0.00000076,0.984430906,0,0
1.47192E-9,0.000010063,0.000002602,0.976307901,0,0
3.13871E-9,0.00002524,0.000005548,0.969635432,0,0
5.75291E-9,0.000050559,0.000010169,0.96402669,0,0
1.01274E-8,0.000100328,0.000017902,0.957934436,0,0
1.86944E-8,0.00025159,0.000033044,0.947490572,0,0
3.01969E-8,0.000501279,0.000053375,0.937433517,0,0
5.04791E-8,0.001001218,0.000089222,0.925152306,0,0
9.27801E-8,0.00250362,0.000163978,0.905231602,0,0
1.45064E-7,0.005002298,0.000256359,0.884924089,0,0
2.35184E-7,0.010004016,0.000415555,0.85891113,0,0
4.28688E-7,0.025037022,0.000757205,0.8142346,0,0
6.63725E-7,0.050056247,0.001171872,0.76917126,0.002881844,0
1.14069E-6,0.100023847,0.002012302,0.713277246,0.002881844,0
1.90595E-6,0.200025096,0.003357774,0.648873416,0.002881844,0
2.66744E-6,0.300030528,0.004693032,0.606034233,0.002881844,0
3.35552E-6,0.400258757,0.005896484,0.573832318,0.002881844,0
4.16972E-6,0.500095596,0.007316769,0.547916062,0.002881844,0
4.88091E-6,0.600157009,0.008554033,0.526544822,0.002881844,0
5.64778E-6,0.700217759,0.009884732,0.508074654,0.002881844,0
5.98157E-6,0.750306703,0.010462811,0.499758244,0.002881844,0
6.38316E-6,0.800188892,0.011157429,0.491925346,0.002881844,0
7.1832E-6,0.900339,0.012538319,0.477613384,0.002881844,0
7.96499E-6,1.000095966,0.013883991,0.464848661,0.002881844,0
8.68483E-6,1.100712628,0.015119794,0.453147665,0.002881844,0
9.44188E-6,1.200344868,0.016416141,0.442510396,0.005763689,0
1.01391E-5,1.300029531,0.017607029,0.432646746,0.005763689,0
1.09239E-5,1.400212044,0.018944034,0.423460014,0.008645533,0
1.15873E-5,1.500431789,0.020071408,0.414853496,0.008645533,0
